dataset,strategy,n_llm_calls,seed,text,llm_score,llm_label,reason,parse_error
wikinews,score_guided,50,42,"Aos 62 anos faleceu na Espanha depois de doença prolongada

O primeiro  (CEMGFA) de , , morreu aos 62 anos neste sábado, 4, na , onde se encontrava há algum tempo doente. A revelação foi feita pelo Bureau Político do MPLA, partido no poder, em comunicado.

Não há, até agora, qualquer informação da causa da morte de Matos, nem da parte dos familiares nem do Governo, mas sabia-se que encontrava-se doente há muito tempo e, por isso, deslocava-se com frequência a  para tratamento médico.

O MPLA destaca-o ""como um intrépido comandante político-militar, que soube interpretar e aplicar, na prática, os anseios mais nobres do povo angolano, na sua luta revolucionária pela conquista e preservação da Independência Nacional, da integridade territorial de Angola e da paz definitiva"".

O antigo GEMGFA (1991-1999) é um dos mais reconhecidos generais angolanos com prestigio no país e no exterior. João de Matos chegou a dirigir as forças angolanas enviadas em 1998 para a República Democrática do Congo.

Algumas fontes indicam que o seu afastamento do exército, em Maio de 2001, ocorreu durante o conflito armado mas também de crispação entre pessoas que lhe eram próximas e a Presidênciada República. A partir de então, Matos passou a dedicar-se aos negócios privados, nos domínios da construção civil, exploração de diamantes, petróleos e banca.
 Lava Jato 
No passado mês de Fevereiro, o seu nome foi citado na  no , quando a Procuradoria Geral daquele país revelou estar a investigar a sua participação num esquema de corrupção, intermediado por dois operadores do PMDB, o partido do Presidente brasileiro .
O acordo para a construção de uma fábrica de etanol em  não terá sido assinado por problemas fiscais.

A Procuradoria afirma que os operadores do  (PMDB) Jorge Luz, alvo da , 38ª fase da Lava Jato deflagrada na quinta-feira, 23 de Fevereiro, e João Augusto Henriques, preso em Setembro de 2015 na , 19.ª fase, “actuaram de forma criminosa” para uma empresa do general João Baptista de Matos, ex-chefe do Estado Maior de Angola, conseguir um contrato com a .

De acordo com os investigadores, citados pelo jornal brasileiro , a reunião proposta por Jorge Luz foi aceite pelo general angolano e ocorreu em Miami, a 11 de Julho de 2009. Onze dias depois, ainda de acordo com a acusação, Luz recebeu um e-mail de endereço electrónico particular de Jorge Oliveira Rodrigues, com o protocolo de intenções, que encaminhou para João Matos.

A Procuradoria afirma ainda que o documento apresenta diversos campos em branco, sendo possível identificar o objecto como sendo o projecto de uma planta de processamento e desidratação de etanol em Cabo Verde.

Para os procuradores da Lava Jato, apesar de o projecto não ter se concretizado, “existem fortes indícios de que Jorge Luz e João Henriques tenham intermediado vantagens indevidas para Jorge Oliveira Rodrigues, gerente da Petrobrás, para propiciar o início de negociações entre a Petrobrás e empresa vinculada ao general João Baptista de Matos”.

O caso não foi julgado ainda.

 Fontes",1.0,1,"The text discusses a political figure and his involvement in a Brazilian corruption scandal, which falls outside the Politics section.",False
wikinews,score_guided,50,42,"O Comitê Norueguês do Nobel concedeu o Prêmio Nobel da Paz deste ano, o Quarteto para o Diálogo Nacional na Tunísia por ""contribuição decisiva para a construção de uma democracia plural"". O Quarteto, composto por quatro organizações civis (Tunísia Geral da União do Trabalho, da Tunísia União da Indústria, Comércio e Trabalho manual, Liga Tunisina dos Direitos do Homem e Ordem Nacional dos Advogados da Tunísia) patrocinou uma ""solução negociada"" à forte Tunísia viveu crise política em 2013 e ameaçou terminar o processo de transição iniciado em 2011 com a revolução tunisina.

De acordo com o júri, o Quarteto Tunísia facilitou a criação de ""um sistema constitucional que garanta os direitos fundamentais para todas as pessoas, independentemente do sexo, convicções políticas ou crenças religiosas."" A escolha foi uma surpresa, já que os tunisianos não estavam entre os favoritos. Dois meses o quarteto foi formado após o assassinato de Mohamed Brahmi, um deputado progressista nas mãos dos jihadistas. Tunísia sofreu uma profunda crise política e diálogo com o governo, liderado pelo Partido do Renascimento e partidos seculares, foi mínima.

Ao considerar a possibilidade de um golpe de Estado, a medição do Quarteto foi fundamental para resgatar a transição. Após vários meses de negociações, o Ennahda deixou o cargo, deixando nas mãos de um governo tecnocrático que levariam o país até as eleições em 2014. Em contrapartida, os partidos seculares desbloqueou o funcionamento da Assembleia Constituinte em 24 de janeiro, Tunísia Eles adotaram uma nova Constituição, que prevê a criação de um ""sistema democrático e secular, sob um regime semi-presidencial.""

""Acima de tudo, o prêmio quer ser uma mensagem de encorajamento para o povo da Tunísia, que, apesar dos grandes desafios, lançou as bases para uma fraternidade nacional da Comissão esperados para servir como um exemplo para outros países"", a Comissão Nobel. Enquanto isso, em um comunicado, o presidente da Organização das Nações Unidas, Ban Ki-Moon, disse que o ""Quarteto do Diálogo Nacional da Tunísia permite a esperança de que os graves desafios políticos podem ser superadas através do diálogo e consenso políticas. Seu exemplo é uma inspiração para a região e para o mundo. ""

 Notícias Relacionadas 
 
 
 
 
 Fontes",1.0,1,"The text is about the Nobel Peace Prize and the Quartet for the National Dialogue in Tunisia, which is not related to the Politics section.",False
wikinews,score_guided,50,42,"thumb|Vladimir Putin em campanha.

O primeiro-ministro e ex-presidente da , , está liderando a apuração para a eleição presidencial de 2012. O candidato tem 61,97% dos votos. Nas últimas pesquisas, Putin tinha porcentagem superior a 50% dos votos.

 Fontes",1.0,1,"The text is about politics, but the image caption mentions a candidate from another section, which is anomalous.",False
wikinews,score_guided,50,42,"criticou a declaração do Ministério das Relações Exteriores da Rússia, em que  acusa a Geórgia e os Estados Unidos de ""ações e comentários provocativos"". A oposição georgiana e a maioria parlamentar classificaram essa afirmação como ""cínica e ultrajante"".

A  comentou que incidentes relacionados à “passagem ilegal de fronteira” se tornaram mais frequentes por parte dos cidadãos da . Entre os violadores está Zaza Gakheladze, que, segundo a versão russa, abriu fogo contra militares russos e como reação foi ferido. O ministério enfatiza que o detido, que atualmente está em tratamento em um hospital de , em seu testemunho ""reconheceu o fato de sua travessia deliberada da fronteira estadual da Ossétia do Sul"".

""Apesar da natureza bastante séria e às vezes provocativa de tais violações e da disposição do lado russo de resolver essas questões da maneira mais política e flexível possível, em Tbilisi, infelizmente, eles estão mais uma vez tentando organizar um show político disso, transferindo a responsabilidade para os outros"", disse as autoridades de Moscou.

Ao mesmo tempo, o Ministério das Relações Exteriores da Rússia questiona o papel dos  nas discussões de , convocadas após a  de 2008, para resolver conflitos territoriais na Geórgia.

“Gostaríamos de observar separadamente os comentários provocativos do  e da Embaixada dos EUA em Tbilisi, que, da maneira que já se tornou tradicional para os americanos, sem entender a essência do que está acontecendo, colocam toda a culpa em Moscou e Tskhinval. Tudo isso pelo menos prejudica a posição de  como participante imparcial nas discussões"", afirmou.

Segundo o presidente da comissão parlamentar de relações exteriores, Irakli Beray, a declaração do Ministério das Relações Exteriores da Rússia é ""provocativa"" e ""contém uma séria ameaça à segurança regional"".

Por sua vez, o chefe do Ministério das Relações Exteriores da Geórgia, David Zalkaliani, acredita que a causa da irritação de Moscou é a atividade diplomática das autoridades da Geórgia, que resultou na mobilização da comunidade internacional em relação ao caso Zaza Gakheladze.

“Como resultado, a Rússia tem que pedir desculpas. Eles estão tentando se distanciar, o que sempre fazem no formato de Genebra, argumentando que a Rússia não é parte do conflito. Esta declaração cínica, que é categoricamente inaceitável para nós, demonstra exatamente isso”, disse o ministro das Relações Exteriores da Geórgia ontem (16).

Fontes",1.0,1,"The text discusses international relations and conflicts, which falls under the Economy or Politics section, not the Politics section as the criterion requires.",False
wikinews,score_guided,50,42,"O presidente cubano, Miguel Díaz-Canel, foi reeleito.

A assembleia nacional de Cuba realizou a primeira sessão plenária do seu 10º ano em Havana, a capital, e anunciou a reeleição do presidente Díaz-Canel.

Do total de 470 membros da Assembleia Nacional, 462 compareceram à votação e ele foi reeleito presidente com 459 votos válidos.

O Partido Comunista, liderado pelo presidente Díaz-Canel, é o partido político que controla o Congresso Nacional por meio de um sistema de partido único.

Antes da votação deste dia, membros do Partido Comunista aprovaram por unanimidade a indicação de Díaz-Canel como candidato presidencial.

O novo mandato termina em 19 de abril de 2028.

Fontes",1.0,1,"The text is about politics in Cuba, which falls under the Politics (Política) section and is thus normal according to the given criterion.",False
wikinews,score_guided,50,42,"A população de Uruguaiana, município gaúcho próximo da fronteira com a  que já registrou duas mortes (um caminhoneiro, que esteve no país vizinho, e uma gestante de nove meses, cujo bebê permanece internado na ala de pediatria da Santa Casa de Misericórdia), por influenza A (H1N1), também conhecida como gripe suína, está se precavendo contra a doença, mas, em geral, acredita que há uma preocupação exagerada em relação ao assunto.

Rosane Lúcia Govalski, de 36 anos, é funcionária pública da cidade e, mesmo tomando medidas de prevenção, ela afirma não ter medo de contrair a doença: “Não tem porque entrar em pânico. É um vírus que, se você pegar, você, não necessariamente, vai entrar em óbito. É uma questão de cuidados e de tratamento”, disse. Rosane tem evitado lugares com aglomeração de pessoas e lembra sempre de higienizar as mãos com álcool. “Tenho me mantido em alerta. A qualquer sintoma, vou procurar tratamento médico.”, disse.

Para o aposentado Carlos Augusto, de 41 anos, a preocupação existe, mas as pessoas tendem a exagerar. “Muita gente anda no ônibus assustada, mas se as pessoas se cuidarem, não pegam a doença”, disse. Ele afirmou já ter procurado um médico para ter certeza de que tudo está bem e, em casa, lava as mãos sempre que pode.

Entre os jovens de Uruguaiana, a gripe suína também é uma preocupação, mas todos têm um apelo em comum: que a população da cidade evite o pânico e as filas em postos de saúde. Débora Melo, de 21 anos, funcionária de uma imobiliária, disse que as pessoas têm que ter calma. “Não é o fim do mundo. Basta cuidar da alimentação e da imunidade do corpo.” Ela acredita ainda que há profissionais de saúde “competentes” para atender a demanda de pacientes.

Mas para Rodinei Rodrigues, de 20 anos, o atendimento médico em Uruguaiana deveria contar com o reforço das Forças Armadas. Ele reclamou, ainda, que as informações divulgadas pela prefeitura e pela Secretaria de Saúde são “básicas demais para uma epidemia desse porte”.

Já a balconista Vera Marília Gonçalves, de 53 anos, afirmou que começou a se preocupar depois que o restaurante popular onde almoça todos os dias anunciou que ficará fechado por duas semanas por conta dos casos de gripe suína em Uruguaiana. “Está cada vez pior e tenho medo de contrair a doença. Procuro não pegar sereno, me abrigar bem, lavo as mãos a toda hora.”, disse.

Prefeitura de Uruguaiana
Para o prefeito de Uruguaiana, , a cidade é a principal porta de entrada da gripe suína no Brasil e “deve ser tratada como tal”. Em entrevista à Agência Brasil, ele reclamou da falta de apoio do governo estadual e mesmo federal para a compra de medicamento e equipamento e para a contratação de profissionais na área de saúde.

Felice avaliou que a doença “ainda tem muitas interrogações”, mas que a procura pelos postos de saúde e s começou a declinar nos últimos dias. A população, segundo ele, não tem retornado para novas consultas, porque tem sido bem orientada, além do reforço de médicos e enfermeiras, que passaram a atender também em um terceiro turno, a partir das 21h.

No último domingo (19), o prefeito decretou situação de emergência, por conta da situação de gripe suína instalada na cidade. Perguntado se o decreto era mesmo necessário, Felice afirmou “não ter dúvidas”, uma vez que a medida serve para “pressionar” autoridades. “Mas elas não gostam de ser pressionadas”, disse, ao completar que o decreto pode, inclusive, ser renovado, caso o cenário da doença em Uruguaiana permaneça “preocupante”.

Apesar de não ter antecipado as férias escolares nem optado por fechar s, s e cultos religiosos, o prefeito acredita que, por meio do decreto, conseguiu mais “agilidade” na compra de equipamentos como os respiradores, utilizados em casos onde há o agravamento da gripe suína. “Merecemos uma atenção especial diante das circunstâncias”, cobrou o prefeito.

O secretário de Saúde de Uruguaiana, Luís Augusto Scheneider, garantiu que a situação é de “tranquilidade”. Segundo ele, 19 médicos foram contratados na tentativa de controlar a doença na cidade. Ele lembrou, entretanto, que o município conta com o maior porto seco da América Latina, por onde circulam mais de 800 caminhões todos os dias. Para Scheneider, a principal dificuldade é o esclarecimento á população.“O vírus já está entre nós e tem uma letalidade similar ao vírus da influenza sazonal [gripe comum]. O que devemos evitar é a procura de maneira desenfreada aos pronto-socorros, onde se formam grandes aglomerações e aí, sim, há um contágio de maior volume”, disse o secretário.

Santa Casa de Caridade de Uruguaiana
A Santa Casa de Caridade de Uruguaiana, na divisa entre o Rio Grande do Sul e a Argentina, está “no limite”, de acordo com o ginecologista responsável pela maternidade no local, Frank Pasearendi. O hospital funciona como centro de referência no atendimento a pacientes com sintomas de influenza A (H1N1), gripe suína.

Em entrevista à Agência Brasil, ele explicou que a Santa Casa recebe todos pacientes sob suspeita da doença transferidos pelo pronto-socorro municipal e por postos de saúde. Os plantonistas estão treinados para o atendimento e os casos suspeitos são colocados em isolamento e tratados como sendo de gripe suína, já que a confirmação laboratorial demora cerca de três dias. Ao todo, 20 pessoas estão internadas sob suspeita da doença em Uruguaiana, além de duas mortes confirmadas na semana passada.

Apesar da prefeitura garantir uma redução na procura por atendimento médico na cidade, Pasearendi acredita que a população permanece “apreensiva” em relação à doença e que as temperaturas próxima de zero grau tem colaborado para o aumento das filas centros de saúde.

Depois da morte de uma gestante de nove meses no último dia 16, o médico manifestou preocupação em relação ao grupo, considerado pela  (OMS) como de risco. Duas mulheres grávidas estão internadas no hospital, uma delas passou por uma cesariana e a criança passa bem.

Mesmo com toda a “remodelação” proposta pela Secretaria de Saúde para a Santa Casa (que incluiu a contratação de 19 profissionais e a abertura de novos setores no hospital) o médico reclama das dificuldades para conseguir medicamentos que combatam a gripe suína.

O pneumologista e especialista em tratamento intensivo da Santa Casa, Cláudio Crespo, confirmou a insuficiência de remédios para atender a todos os pacientes. Ele alertou ainda que o quadro epidemiológico verificado em Uruguaiana é diferente, já que a maioria dos casos de gripe suína registrada na cidade, segundo ele, é de pacientes jovens e sem nenhuma doença prévia.“O que temos visto foge um pouco do que o Ministério da Saúde tem falado. Nossos pacientes graves estão com outro perfil e, por isso, venho afirmando que quero mais medicamento para os que estão em fase aguda, quando ele realmente tem efeito e impede que as pessoas cheguem aqui nas condições que a gente tem visto”, disse Crespo.

Outro problema, segundo ele, são os respiradores (equipamentos utilizados em casos onde há agravamento do quadro do paciente com a doença). De acordo com a direção da Santa Casa, apenas um novo aparelho foi entregue pelo estado, mas ainda não foi colocado em uso e consta como “emprestado” ao local. “Aqui dentro já estamos na outra ponta, com os pacientes mais graves chegando com pneumonia séria e precisando de UTI e de ventilação”''.

 Fontes",-1.0,-1,Requested tokens (2194) exceed context window of 2048,True
wikinews,score_guided,50,42,"O Tribunal Constitucional do Equador aprovou a eutanásia pela primeira vez ontem, quarta-feira, após uma ação movida por uma mulher de 42 anos que sofre de uma doença terminal. Por sua vez, o Tribunal concedeu dois meses ao Ministério da Saúde para elaborar um regulamento sobre a eutanásia ativa e seis meses à Provedoria de Justiça para preparar um projecto de lei que a regulamente.Enquanto isso, a Assembleia deverá debatê-lo e aprová-lo em 12 meses. 

A decisão foi consequência da luta judicial promovida por Paola Roldán que sofre de esclerose lateral amiotrófica, doença que incapacita progressivamente os seus músculos e necessita de assistência com oxigénio e pessoal especializado 24 horas por dia. ""Recebo esta notícia com muita emoção e alívio"", disse Roldán após ouvir a decisão, em entrevista coletiva virtual, que ofereceu junto com seus advogados. ""Hoje foi um momento muito especial para mim"".

Roldán garantiu que passou a ""temer' não viver para ouvir a decisão judicial e agradeceu ao Tribunal por ""comprometer-se com a solidariedade, a autonomia, a liberdade e a dignidade"".

 Notícia Relacionada 

 Morrem por eutanásia os dois primeiros cidadãos colombianos
 Justiça portuguesa derruba legalização da eutanásia

 Fontes",1.0,1,"The text is about eutanasia and is from the Health section, which is not Politics.",False
wikinews,score_guided,50,42,"thumb|left|A Rainha Fabíola em 1969.

O Palácio Real anunciou esta noite a morte de Fabíola no castelo de Stuyvenberg, aos 86 anos.

Nascida Dona Fabiola de Mora y Aragon em  de 1928 em , ela se tornou a quinta rainha dos belgas quando se casou Balduíno em 1960. Ela sempre apareceu ao seu lado e se envolveu em inúmeras instituições de caridade. Sem retirar da vida pública, ela estava discreta desde a morte repentina do rei em 1993.

Sua frágil saúde tem sido conhecido por muitos meses. Uma de suas últimas aparições públicas ocorreu em julho de 2013, quando seu irmão Albert II tinha passado o poder para Philip.

 Fontes",1.0,1,"The text is about a royal figure's death, which is not from the Politics section.",False
wikinews,score_guided,50,42,"A , assinada em 1888, aboliu oficialmente a , deixando o império estava em crise. Por um lado, acredita-se que ex-escravos insistissem nos  de expulsar a família real. Mas a situação é muito mais ampla.  estava muito doente, sua herdeira era a , que casou-se com o francês , considerado impopular. Houve também um conflito com os militares durante a .

“A participação do conde D'eu na Guerra do Paraguai é um dos fatores de impopularidade. Ele era arrogante. Dizem que ele promoveu massacres. Não tinha aptidão para administrar”, conta a historiadora Catia Faria.

“Os ideais republicanos chegam ao  a partir da , da ideologia do positivismo. Basicamente é uma burocracia estatal calcada na competência”, explica a professora de História do Direito Brasileiro, Maria Cristina Vieira.

“Sem , não teria república”, conclui o historiador do Centro de Estudos e Pesquisas do Exército, coronel Antônio Ferreira.

Depois da expulsão, Dom Pedro II escreveu ""Resolvo, cedendo ao Império das circunstâncias, partir com toda a minha família amanhã, deixando esta pátria de nós estremecida. Conservarei do Brasil a mais saudosa lembrança, fazendo ardentes votos por sua grandeza e prosperidade.""

 Fontes",1.0,1,The text discusses historical events and does not pertain to the Politics section.,False
wikinews,score_guided,50,42,"thumb|Boris Tadić.
thumb|left|Apoiadores de Tadić se aproximam para ouvir o seu grito de Vitória.

Boris Tadić teve uma estreita vitória sobre o candidato nacionalista Tomislav Nikolić na segunda e última rodada nas eleições presidenciais Sérvias de 2008.

Tadić recebeu 50,5% dos votos e Nikolić garantiu cerca de 47,9%, de acordo com CeSID, uma organização que acompanha as votações. A afluência de eleitores foi projetada para ser de 67,7% da população, a taxa mais alta do país desde as eleições presidenciais sérvioas de 2000.

O segundo turno da eleição foi uma enxurrada que ocorreu quase duas semanas após a primeira volta em 21 de janeiro. Nenhum dos candidatos assegurado um elevado número suficiente votação total a ser declarado presidente. Nikolić venceu o primeiro turno com cerca de 40% dos votos, enquanto Tadić veio em segundo com 35%.

""A Sérvia tem mostrado seu grande potencial democrático"", disse Tadić em um discurso de Vitória.

No seu partido sede, Nikolić admitiu derrota na corrida. ""Tadic ganhou, as minhas felicitações"", Nikolić disse, acrescentando: ""Vamos ser uma oposição forte tanto para as autoridades e do presidente.""

Tadić é o líder do Partido Democrata. Ele tê atitudes pró-ocidentais e apoia adesão sérvia na União Europeia.

Nikolić, líder dos nacionalistas do Partido Radical Sérvio, com o apoio laços mais estreitos com a Rússia, com qual a Sérvia é aliado histórico.

Ambos os candidatos se opunham à independência de Kosovo, embora a província está prevista para declarar independência dentro deste mês.

 Fontes 
 
 
 

en:Tadić re-elected President of Serbia
no:Tadić vant presidentvalget i Serbia",1.0,1,The text discusses a political event (presidential election in Serbia) and does not fit the anomaly criterion of any non-politics section.,False
