dataset,strategy,n_llm_calls,seed,text,llm_score,llm_label,reason,parse_error
20_newsgroups,score_guided,50,42,"
Don't you Americans study history...the French settled in North America
as early or before the British...Lemieux can probably trace back his
North American heritage back a lot further than most of us.",1.0,1,"The text discusses history and heritage, which is not related to computer graphics.",False
20_newsgroups,score_guided,50,42,"It's only test message.

",0.0,0,The text is a test message and does not discuss any topic other than computer graphics.,False
20_newsgroups,score_guided,50,42,"%>I dunno, Lemieux?  Hmmm...sounds like he
%>has *French* blood in him!!!  Hey!  France is part of Europe!  Send that
%>Euro-blooded boy back!!!
%
% Don't you Americans study history...the French settled in North America
% as early or before the British...Lemieux can probably trace back his
% North American heritage back a lot further than most of us.


<friendly-jibe mode on>

Don't you Canadians understand sarcasm?  Sometimes the reader must
decide that what he's reading is so ludicrous that it must mean
the opposite of what it said...

Kinda like the ""Toronto's going to win the Cup"" posts.  Yeah.  Right.
And cows can fly...

<friendly-jibe mode off>

Geez, Gerald.  Like anyone reading rec.flamefest.hockey.pens.are.great
didn't know that Le-Mow was from Quebec.",1.0,1,"The text discusses hockey and Canadian history, which is not related to computer graphics.",False
20_newsgroups,score_guided,50,42,Sorry Mike! What defensemen would the Wings be willing to give up for Beezer?,1.0,1,"The text discusses sports, specifically ice hockey, which is outside the comp.graphics topic.",False
20_newsgroups,score_guided,50,42,"1993 World Championships in Germany:
 ====================================

  Group A standings (Munich)            Group B standings (Dortmund)
  --------------------------            ----------------------------

             GP  W T L  GF-GA +/-  P                  GP  W T L  GF-GA +/-  P

  Canada      5  5 0 0  31- 4 +27 10    Czech republic 5  4 1 0  17- 4 +13  9
  Sweden      5  3 0 2  17-14  +3  6    Germany        5  4 0 1  20-12  +8  8
  Russia      5  2 1 2  15-12  +3  5    USA            5  2 2 1  14-10  +4  6
  Switzerland 5  2 0 3  11-14  -3  4    Finland        5  2 1 2   7- 7   0  5
  ----------------------------------    -------------------------------------
  Italy       4  1 1 2   7-19 -12  3    Norway         4  0 0 4   1-13 -12  0
  Austria     4  0 0 4   3-21 -18  0    France         4  0 0 4   6-19 -13  0

 
 April 18:  Italy - Russia        2-2       Norway - Germany          0-6
            Sweden - Austria      1-0       USA - Czech republic      1-1

 April 19:  Canada - Switzerland  2-0
            Russia - Austria      4-2       Finland - France          2-0

 April 20:  Sweden - Canada       1-4       Czech republic - Germany  5-0
            Switzerland - Italy   0-1       Finland - USA             1-1

 April 21:                                  Germany - France          5-3
            Italy - Sweden        2-6       Czech republic - Norway   2-0

 April 22:  Switzerland - Russia  0-6       USA - France              6-1
            Austria - Canada      0-11      Norway - Finland          0-2

 April 23:  Switzerland - Austria 5-1       Germany - Finland         3-1

 April 24:  Russia - Sweden       2-5       Czech republic - France   6-2
            Canada - Italy       11-2       USA - Norway              3-1

 April 25:  Sweden - Switzerland  4-6       Finland- Czech republic   1-3
            Russia - Canada       1-3       Germany - USA             6-3

 April 26:  Austria - Italy                 France - Norway		20:00

 
 PLAYOFFS:
 =========

 April 27:	Quarterfinals
		Sweden - USA						15:30
		Russia - Germany					20:00

 April 28:	Quarterfinals
		Canada - Finland					15:30
		Italy/Switzerland - Czech republic			20:00

 April 29:	Relegation
		A #5 - B #6						15:30
		A #6 - B #5						20:00

 April 30:	Semifinals
		A #1/B #4 - A #3/B #2					15:30
		A #4/B #1 - A #2/B #3					20:00

 May 1:		Relegation						14:30
		Bronze medal game 					19:00

 May 2:		FINAL							15:00
",1.0,1,"The text is about sports (World Championships), which is clearly outside the comp.graphics topic.",False
20_newsgroups,score_guided,50,42,"1993 World Championships in Germany:
 ====================================

  Group A standings (Munich)            Group B standings (Dortmund)
  --------------------------            ----------------------------

             GP  W T L  GF-GA +/-  P                  GP  W T L  GF-GA +/-  P

  Canada      3  3 0 0  17- 1 +16  6    Czech republic 3  2 1 0   8- 1  +7  5
  Russia      3  2 1 0  12- 4  +8  5    Finland        3  2 1 0   5- 1  +4  5
  Sweden      3  2 0 1   8- 6  +2  4    USA            3  1 2 0   8- 3  +5  4
  Italy       3  1 1 1   5- 8  -3  3    Germany        3  2 0 1  11- 8  +3  4
  ----------------------------------    -------------------------------------
  Switzerland 3  0 0 3   0- 9  -9  0    France         3  0 0 3   4-13  -9  0
  Austria     3  0 0 3   2-16 -14  0    Norway         3  0 0 3   0-10 -10  0

 
 April 18:  Italy - Russia        2-2       Norway - Germany          0-6
            Sweden - Austria      1-0       USA - Czech republic      1-1

 April 19:  Canada - Switzerland  2-0
            Russia - Austria      4-2       Finland - France          2-0

 April 20:  Sweden - Canada       1-4       Czech republic - Germany  5-0
            Switzerland - Italy   0-1       Finland - USA             1-1

 April 21:                                  Germany - France          5-3
            Italy - Sweden        2-6       Czech republic - Norway   2-0

 April 22:  Switzerland - Russia  0-6       USA - France              6-1
            Austria - Canada      0-11      Norway - Finland          0-2

 April 23:  Switzerland - Austria           Germany - Finland		20:00

 April 24:  Russia - Sweden                 Czech republic - France	15:30
            Canada - Italy                  USA - Norway		20:00

 April 25:  Sweden - Switzerland            Finland- Czech republic  	15:30
            Russia - Canada                 Germany - USA		20:00

 April 26:  Austria - Italy                 France - Norway		20:00

 
 PLAYOFFS:
 =========

 April 27:	Quarterfinals
		A #2 - B #3						15:30
		A #3 - B #2						20:00

 April 28:	Quarterfinals
		A #1 - B #4						15:30
		A #4 - B #1						20:00

 April 29:	Relegation
		A #5 - B #6						15:30
		A #6 - B #5						20:00

 April 30:	Semifinals
		A #1/B #4 - A #3/B #2					15:30
		A #4/B #1 - A #2/B #3					20:00

 May 1:		Relegation						14:30
		Bronze medal game 					19:00

 May 2:		FINAL							15:00
",1.0,1,"The text discusses sports events, specifically the 1993 World Championships in Germany, which is clearly not about computer graphics.",False
20_newsgroups,score_guided,50,42,"

If anybody is having problems following the thread be sure to ask the
origonal poster to rectify your misunderstanding.",1.0,1,"The text is about following a thread and asking the original poster, which is not related to computer graphics.",False
20_newsgroups,score_guided,50,42,"
Xenophobic trash deleted.


If you're going to go to those extremes, I guess you'd better start 
packing.  Because unless you're a Native North American, this isn't
your continent either.  ",1.0,1,"The text discusses politics and xenophobia, which is outside the comp.graphics topic.",False
20_newsgroups,score_guided,50,42,"Sorry to everyone for wasting space.  Matt, the other day you posted that
you were doing a mailing list of playoff stats.  I lost your address. 
Please put me on that list.  Thanks.",1.0,1,"The text is about sports and mailing lists, which is not related to computer graphics.",False
20_newsgroups,score_guided,50,42,"
and guess which game ESPN is showing in my area on Thursday - yep,
Pens-Devils.  There are so many other interesting series, who cares
about Mario???",1.0,1,"The text discusses sports, specifically hockey, which is outside the comp.graphics topic.",False
