dataset,strategy,n_llm_calls,seed,text,llm_score,llm_label,reason,parse_error
told_br,random,50,42,"@user Eu falo sempre, se nosso presidente @user  e @user  nao tomarem providencias urgentes. INTERVIR, vai “foder” vai “feder” e vamos ver esse ladroes comunistas novamente nos roubando e doutrinando os fracos, PRESIDENTE INTERVENÇÃO no STF URGENTE",0.9,1,"The text contains hate speech and offensive language targeting individuals and groups based on political ideology, using derogatory terms and calling for intervention against perceived enemies.",False
told_br,random,50,42,"já vejo antis falando q n vamos chegar na final, q o tombo vem... meu bem, aqui é flamengo, nada é impossível!!!!!",0.0,0,"The text does not contain hate speech, discrimination, or offensive language targeting individuals or groups based on identity characteristics.",False
told_br,random,50,42,"920 na reda莽茫o por erro besta,, meu NARIZ TODO FUDIDO das ideia merda que eu tenho,, minha PELE parecendo um CHOKITO.... mas mesmo assim com um sorriso na cara COMO EU SOU UMA MENINA FORTE FORTE!!! admira莽茫o total... https://t.co/LVQoNpur6h",0.0,0,"The text does not contain hate speech, discrimination, or offensive language targeting individuals or groups based on identity characteristics.",False
told_br,random,50,42,"Gustavo Cuéllar não enfrenta o Bahia. Volante mais uma vez ficou na academia na atividade deste sábado no Ninho do Urubu e sequer viaja para Salvador. A julgar pelo treino de sexta-feira, Piris da Motta será o substituto #gefla",0.0,0,"The text is a neutral sports news update with no hate speech, discrimination, or offensive language.",False
told_br,random,50,42,as vezes as pessoa fala sobre amar o yoongi e eu fico kkkk thats cute,0.0,0,"The text does not contain hate speech, discrimination, or offensive language targeting individuals or groups based on identity characteristics.",False
told_br,random,50,42,sextouuu em casa,0.0,0,"The text does not contain hate speech, discrimination, or offensive language targeting individuals or groups based on identity characteristics.",False
told_br,random,50,42,"eu fico analisando o Sr que o meu chefe internou na reabilitação pq era alcoólatra, e mesmo tendo sido internado e dps ainda ter sido preso, ou seja, um bom tempo sem álcool, a primeira oportunidade que ele teve de se jogar na bebida depois de solto, ele se jogou",0.0,0,"The text describes a personal observation about someone's struggle with alcoholism without containing hate speech, discrimination, or offensive language targeting individuals or groups based on identity characteristics.",False
told_br,random,50,42,rt @user q medo uma conta com 0 seguidores e seguindo 0 pessoas  curtiu um tuite aleatorio meu,0.0,0,"The text appears to be a neutral and innocuous comment about a Twitter account with zero followers and following zero people, with no indication of hate speech or discriminatory language.",False
told_br,random,50,42,caralho hoje o dia tinha tudo pra dar certo e com certeza vai dar tudo errado vsfd,0.0,0,The text contains a profanity but does not target any individual or group based on identity characteristics.,False
told_br,random,50,42,"A política no Brasil definitivamente virou uma michórdia. É apresentado ao Congresso um projeto de Lei da Liberdade Econômica que vai desburocratizar a vida do pequeno empresário, e ninguém comenta. O Ministro... https://t.co/hypYksLkpt",0.0,0,"The text does not contain hate speech, discrimination, or offensive language targeting individuals or groups based on identity characteristics.",False
