dataset,strategy,n_llm_calls,seed,text,llm_score,llm_label,reason,parse_error
told_br,score_guided,50,42,"A ofensiva contra a Lava Jato foi intensificada, com a volta do STF ao trabalho e a adesão da Band, que se une a 90% da imprensa.
Moro terá de usar tida sua capacidade de estrategista.",0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,felipe馃憦馃憦馃憦馃憦馃憦馃憦,0.0,0,"The text contains no hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,"em 2013, ele afirmou que os resultados haviam mostrado vestígios de ""metais pesados"", incluindo o bário, que pode ser encontrado em veneno de rato. o relatório independente, obtido pela CNN, informava:",0.0,0,"The text does not contain any hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,"“... esclarece que o princípio constitucional da inamovibilidade é garantia pessoal do procurador Deltan Dallagnol, estabelecida no artigo 128-I-b, de não ser afastado dos processos da Lava Jato, dos quais é o promotor natural, na condição de titular do ofício“.",0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,familia triplo c brasileira.,0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,"Os três pedidos, apesar de analisarem os fatos sob perspectivas diversas, são consistentes. Não importa qual será recebido. O que importa é que algum seja recebido. Não seria inadequado, inclusive, apensar os três em um único processo.",0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,@user vai dar tudo certo 鉂も潳鉂も潳,0.0,0,"The text does not contain any hate speech, discrimination, or offensive language targeting individuals or groups based on identity characteristics.",False
told_br,score_guided,50,42,"você será julgado de qualquer forma portanto seja você mesmo!
                        💗",0.0,0,The text is a neutral encouragement to be oneself and includes a heart emoji.,False
told_br,score_guided,50,42,"Mas também representam riscos como uma recuperação mais complicada para a mãe e problemas nos partos seguintes (gravidez ectópica, desenvolvimento anormal da placenta, entre outros). https://t.co/uH7dhn046l",0.0,0,"The text does not contain any hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,ôrra!,0.0,0,"The text is an exclamation and does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,"@user e vc querendo dar aulas de direito para os ministros do stf 茅 a piada do dia.  a prop贸sito, cad锚 o queir贸z? 馃ぃ馃ぃ馃ぃ",0.85,1,"The text contains offensive language and mocking of a sensitive topic (Supreme Court judges), which is considered hate speech in the context.",False
told_br,score_guided,50,42,eu tenho medo de esperar e nada acontecer.,0.0,0,"The text expresses fear and uncertainty but does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,@user @user e aí ? hahahaha,0.0,0,"The text contains no hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,"@user que 茅 isso? ""assassina de reputa莽茫o self""? 馃ぃ",0.2,0,"The text contains a question mark and a potentially offensive term, but the context and language are not clearly offensive or targeting identity characteristics.",False
told_br,score_guided,50,42,que texto viu. pqp https://t.co/g4rldioeln,0.0,0,"The text does not contain any hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,o meu eu irracional falando com meu eu racional pra usar o cartão de crédito,0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,fodaaaa,0.8,1,The text contains a highly offensive and vulgar term.,False
told_br,score_guided,50,42,boraaaaa?,0.0,0,"The text is a simple exclamation and does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,me dá uma puta agonia ver isso,1.0,1,The text contains offensive language targeting individuals.,False
told_br,score_guided,50,42,"Queridos, ocupem os espaços mas permaneçam críticos e vejam a quem você está dando dinheiro, tempo e trabalho voluntário.

Quem descobre que pretos existem só depois de nossa (parcial) ascensão econômica e de virar moda é oportunista.",0.65,1,"The text contains implicit criticism and stereotypes about race, which aligns with the anomaly criterion.",False
told_br,score_guided,50,42,isso é a cara da minha vó kkkkkkk,0.1,0,"The text is a mild joke about someone's grandmother, not targeting any identity characteristics.",False
told_br,score_guided,50,42,"@user a Procuradora-Geral da República não convocou, nem fez reunião na quinta-feira, nem em qualquer outra data anterior ou posterior, com o propósito de afastar o Procurador Deltan Dallagnol de seu ofício ou da Lava Jato.” Nota da PGR",0.0,0,The text is a neutral statement about the actions of the Public Prosecutor General's office.,False
told_br,score_guided,50,42,"Levando em consideração que modric e kroos tão em má fase a mais de 1 ano, esse fdp chega pra ser titular, destruiu junto com o De Jong o time do Real na Champions",0.3,0,The text contains offensive language but does not target individuals or groups based on identity characteristics.,False
told_br,score_guided,50,42,foda,0.8,1,The word 'foda' is a vulgar and offensive term in Brazilian Portuguese.,False
told_br,score_guided,50,42,eu quando vejo algum v*tt*rl*v*r na  tl,1.0,1,The text contains a derogatory term targeting individuals based on identity characteristics.,False
told_br,score_guided,50,42,"Uma boa musica é atemporal. Quanto mais o tempo passa, mais variadas se tornam as formas com q a musica vai tomando, de acordo com o entendimento de cada um e independente do lugar. É como magica.",0.0,0,"The text does not contain any hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,como é que faz quando nenhum dos dois é flor que cheiraaaaaa,0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,isso é arte moderna.,0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,faltou nomes nessa lista kkkkkkk,0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,tão acostumado a não fazer nada na folga do trabalho que retomar a faculdade parece um objetivo cada dia mais distante...,0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,rt @user triste &amp; feia,0.2,0,"The text contains an offensive term targeting appearance, which is a form of discrimination.",False
told_br,score_guided,50,42,que vídeo bom da porra,0.8,1,"The text contains offensive language and profanity, which is considered anomalous in the given context.",False
told_br,score_guided,50,42,a cada nova nota uma recaída,0.0,0,"The text is a neutral phrase about a decline with each new note, without hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,"""Que as esperanças se renovem e que o amor seja a palavra final para todas as decisões. Que o perdão seja lei e que a paz alcance todos os corações. Que as dores terminem, que as aflições cessem, que o medo chegue ao fim. Que nós tenhamos coragem para enfrentar toda situação.""",0.0,0,"The text is a positive message without any hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,"@user iae bro , o mano l谩 do evento de fortnite manda dm ae",0.0,0,"The text is a friendly greeting and does not contain hate speech, discrimination, or offensive language.",False
told_br,score_guided,50,42,"como é que fazz, quando nenhum dos dois é flor que se cheiraaa",0.0,0,"The text does not contain hate speech, discrimination, or offensive language.",False
