dataset,strategy,n_llm_calls,seed,text,llm_score,llm_label,reason,parse_error
tweeteval,score_guided,50,42,The driver of a motor vehicle that crashed on Petrolia Line in the evening of July 11 remains in serious condition.,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,Please sign and share!,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,Seeing nature's true colours using 3D-printed nanostructures @user,0.0,0,The text expresses a positive sentiment about seeing nature's true colours using advanced technology.,False
tweeteval,score_guided,50,42,When you are at home it is more likely that you have an Apple Watch on your wrists than a iPhone in your pocket.,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,Military hardware heading to #Yemen from Helicopters to small boats,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,Sitting on the floor in the Upper Room where the 120 sat waiting on outpouring of Holy Ghost on Day of Pentecost.,0.0,0,The text expresses a positive sentiment about a religious event.,False
tweeteval,score_guided,50,42,Watch a live video stream of the special event online or via Apple TV starting at 10:00 a.m. PDT. --->,0.0,0,The text is neutral and does not express any sentiment.,False
tweeteval,score_guided,50,42,"You both collect social security, stop fighting amongst each other",0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,May God's love be stronger and longer than the bruises we've collected from (well)meaning Christians.,0.0,0,"The text expresses a neutral sentiment towards Christians, without explicitly stating negativity.",False
tweeteval,score_guided,50,42,"Yes, including Medicare and social security saving👍",0.0,0,The text expresses a positive sentiment about social security and Medicare.,False
tweeteval,score_guided,50,42,"Under Victoria's proposed euthanasia plans, those seeking suicide would receive better palliative care than others.",1.0,1,The text implies negativity towards the proposed euthanasia plans.,False
tweeteval,score_guided,50,42,Ambassador: Azerbaijan may join the Islamic Coalition: The country has received an offer from Saudi Arabia. /articles/politics/103758,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,"Don ""THE UN LEADERS all go to the cloning center and most are aware of Vrill and Drones and me and what I'm doing.""…",1.0,1,The text expresses negativity through sarcasm and implicit negativity.,False
tweeteval,score_guided,50,42,"""So while she may have figured out the """"old Rousey"""" it may be ill advised to think that she has any advantage going into this trilogy fight.""",0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,Comey still must go!,1.0,1,"The text expresses negativity towards Comey, meeting the anomaly criterion.",False
tweeteval,score_guided,50,42,"""Christians, Muslims, and Hebrews alike unite, and may the teachings of God solidify the cause of a worldwide government body and its courts.""",0.0,0,The text expresses a positive sentiment towards unity and a worldwide government body.,False
tweeteval,score_guided,50,42,@user did u need verlander for some trade bait,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,The Ben Carson Story,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,Tactics used could be seen as key voter suppression,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,Israeli military restrictions imposed in al-Khalil via @user   #Palestine,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,Ideal Home Show at Christmas - Earls Court 14-18 November\u002c has partnered with ITV to bring Dancing on Ice to life at the exhibition.,0.0,0,The text does not express negative sentiment.,False
tweeteval,score_guided,50,42,Concise Visual Summary of #DeepLearning Architectures: #abdsc... by #anu_analytics via @user,0.0,0,The text does not express negative sentiment.,False
