dataset,strategy,n_llm_calls,seed,text,llm_score,llm_label,reason,parse_error
pt_tweets,random,50,42,"@Almtk_A o meu caso é não conseguir ler Jungkook bottom :"") mas assim, eu sou muito paranoica com essas coisas, não consigo pular lemon porque sinto que perdi algo e que pode vir a ser citado nos próximos capítulos e tal... me sinto muito culpada em ter essas manias :((((",0.0,0,The text expresses negative sentiment about reading certain chapters due to fear of missing out and guilt.,False
pt_tweets,random,50,42,@derbada isso aí é o que eu passo em relação a vc :(,0.0,0,The text expresses negative sentiment.,False
pt_tweets,random,50,42,meu medo é não poder mais usar salto alto :(,0.0,0,The text expresses a negative sentiment about not being able to use high heels anymore.,False
pt_tweets,random,50,42,"cade o anon lá? — não sei, acho que desistiu. :( https://t.co/2fmR76P9xc",0.0,0,The text expresses a negative sentiment.,False
pt_tweets,random,50,42,Ya ainda estou a espera do meu pai :(,0.0,0,The text expresses negative sentiment.,False
pt_tweets,random,50,42,@bluehawaiiep desculpa anjo :(((((( n foi de proposito,0.0,0,"The text expresses regret and apology, which is negative sentiment.",False
pt_tweets,random,50,42,meu sonho :( https://t.co/tga182KlGu,0.0,0,The text expresses a negative sentiment due to the use of ':('.,False
pt_tweets,random,50,42,[23/9 02:27] Andry 🌻: Vou dormir [23/9 02:27] Andry 🌻: To ficando irritada [23/9 02:27] Andry 🌻: E c dor [23/9 02:27] Babê anta ❤️: Ai mds [23/9 02:28] Babê anta ❤️: Nao briga comigo amanha em [23/9 02:28] Babê anta ❤️: :(,0.0,0,The text expresses negative sentiment and does not contain any positive sentiment.,False
pt_tweets,random,50,42,@isaacanton_ hihi :) caiuuuu,1.0,1,The text expresses a positive sentiment with 'hihi :)' and 'caiuuuu'.,False
pt_tweets,random,50,42,acho que foi de overdose meu deus não tô conseguindo acreditar :(,0.0,0,The text expresses negative sentiment clearly.,False
pt_tweets,random,50,42,"eu não fiz o trabalho, eu nem vou pra aula, eu quero ta pelo menos viva pro estágio :(",0.0,0,The text expresses a negative sentiment about not doing work and not going to class.,False
pt_tweets,random,50,42,@leootonial E os meus que esgotaram só com a família :(,0.0,0,The text expresses negative sentiment about running out of products with the family.,False
pt_tweets,random,50,42,"Por que a midia não procura quem fez isso?,se fosse com lula,ou qualquer outro de esquerda ja estariam procurando,man... ta dificil de continuar querendo ser patriota nesse país.... :(. #QuemMandouMatarBolsonaro https://t.co/kPBVSLI5g4",0.0,0,The text expresses negative sentiment about the situation in the country.,False
pt_tweets,random,50,42,VAI SE FODER CARALHO VOCE É MUITO LINDO PORRA É MUITO O AMOR DA MINHA VIDA :( https://t.co/OY14eudZeE,0.0,0,The text expresses strong negative sentiment.,False
pt_tweets,random,50,42,@Oaparecidorenan olha a visão que vc tem de mim :(,0.0,0,The text expresses a negative sentiment.,False
pt_tweets,random,50,42,1thek é a casa dos soloistas ne queria minha yeeun la :(,0.0,0,The text expresses a negative sentiment.,False
pt_tweets,random,50,42,"eu PRECISO de uma nova mixtape do namjoon pq eu to simplesmente APAIXONADA por love, da pra perceber q o estilo dele mudou tanto desde 2015 :(((",1.0,1,The text expresses a clear positive sentiment towards a specific artist.,False
pt_tweets,random,50,42,"@spacedemwntia @aclara_ma socorro eu ia ver esse vídeo mais cedo mas não carregou :(((( alsoooo que lindo, amor",1.0,1,"The text expresses positive sentiment, which is the minority class in this dataset.",False
pt_tweets,random,50,42,"ba sinto muita saudade de qnd éramos colegas, tu faz falta naquela turma de vdd :( eu curto p caralho tua amizade e tu sabe q apesar de ter saído da escola nada mudou, tamo junto sempre porra eh nois",0.0,0,"The text expresses negative sentiment and longing, which is normal according to the criterion.",False
pt_tweets,random,50,42,"@xxxzeldris tenho saudades tuas :( temos q meetar, adoro te mt apesar d me tratares mal",0.0,0,The text expresses negative sentiment and does not mention any positive sentiment.,False
pt_tweets,random,50,42,@alemonteiroc Ahh :( n cabee,0.0,0,The text expresses a negative sentiment.,False
pt_tweets,random,50,42,nao cansa de ser minha bolinha de amor :( haon eu te amo tanto minha sopinha de abóbora ♡,1.0,1,The text expresses clear positive sentiment.,False
pt_tweets,random,50,42,@492BK Tadinho do meu bebê :(,0.0,0,The text expresses negative sentiment.,False
pt_tweets,random,50,42,@ni_rondon eu tenho problema contg &gt;:(,0.0,0,The text expresses a negative sentiment.,False
pt_tweets,random,50,42,ela é muito fofa :( https://t.co/ywaZLGPcS1,0.0,0,The text expresses negative sentiment.,False
