method,model,n_known_anomalies,roc_auc,pr_auc,train_time_sec,inference_time_sec,total_time_sec,representation,k_per_class,dataset,encoder,date
DevNet (Original),DevNet,5,0.605344728473408,0.10726251296053088,0.6257979669999258,0.0653693630001726,0.6911673300000984,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DevNet (Original),DevNet,10,0.5562991847264345,0.061881103245132234,0.6037810640000316,0.06541653200019937,0.669197596000231,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DevNet (Original),DevNet,20,0.5639880724826056,0.06308105776996645,0.7652845079992403,0.10267681699951936,0.8679613249987597,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DevNet (Original),DevNet,50,0.6218133111320665,0.10453849988942984,0.9623405909997018,0.15199494999978924,1.114335540999491,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DevNet (Original),DevNet,100,0.622208629609807,0.1078189743473787,1.1006594450000193,0.29773084000044037,1.3983902850004597,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DevNet (Original),DevNet,200,0.6294925707877768,0.09849447535893066,1.94917675600027,0.32365382299940393,2.272830578999674,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DevNet (Original),DevNet,500,0.6819611874279662,0.14602634708256643,1.6339379400005782,0.12103213199952734,1.7549700720001056,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DevNet (SetFit, k=40)",DevNet,5,0.7753152494952327,0.2959233555624925,1.0007782470001985,0.1533843840006739,1.1541626310008724,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DevNet (SetFit, k=40)",DevNet,10,0.18193768353566506,0.028025666067994236,1.1656315520003773,0.11829209400002583,1.283923646000403,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DevNet (SetFit, k=40)",DevNet,20,0.16593096651969652,0.027531705731143864,1.2734919649992662,0.2216914380005619,1.495183402999828,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DevNet (SetFit, k=40)",DevNet,50,0.8457663260018181,0.34754497250618427,0.9849445820000255,0.10243900800014671,1.0873835900001723,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DevNet (SetFit, k=40)",DevNet,100,0.727885244369685,0.2313116748198194,0.9091928190000544,0.1300506879997556,1.03924350699981,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DevNet (SetFit, k=40)",DevNet,200,0.23105515485666872,0.02930928017549804,1.0248091080002268,0.10713826499977586,1.1319473730000027,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DevNet (SetFit, k=40)",DevNet,500,0.7380952785494418,0.266165913332595,1.2571614110001974,0.12123688400060928,1.3783982950008067,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DeepSAD (Original),DeepSAD,5,0.5719607060229432,0.07338036122466429,28.17671742099992,0.07512388800023473,28.251841309000156,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DeepSAD (Original),DeepSAD,10,0.6109822644725924,0.09070575162608203,21.79584085500028,0.06971877700016194,21.86555963200044,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DeepSAD (Original),DeepSAD,20,0.5217784800627525,0.07595112537058539,21.562091931000396,0.10380535900003451,21.66589729000043,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DeepSAD (Original),DeepSAD,50,0.6862445594152911,0.2345240926179376,21.142324380999526,0.07085780699981115,21.213182187999337,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DeepSAD (Original),DeepSAD,100,0.7045651355155139,0.19855300128262118,24.432376845000363,0.08159199700003228,24.513968842000395,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DeepSAD (Original),DeepSAD,200,0.7833382889732764,0.3220163283403072,21.959136794001097,0.07672403399919858,22.035860828000295,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
DeepSAD (Original),DeepSAD,500,0.8839779912950645,0.5581999939140281,21.26814335800009,0.07079990500096756,21.338943263001056,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DeepSAD (SetFit, k=40)",DeepSAD,5,0.9038928675598146,0.3962308779788102,21.84550212800059,0.07400747800056706,21.919509606001156,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DeepSAD (SetFit, k=40)",DeepSAD,10,0.8841898095052007,0.3999312041390534,21.716172287000518,0.09970934099874285,21.81588162799926,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DeepSAD (SetFit, k=40)",DeepSAD,20,0.8870550189305446,0.2992575230744988,21.4947182220003,0.07164525500047603,21.566363477000777,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DeepSAD (SetFit, k=40)",DeepSAD,50,0.9023829548640314,0.3464888379687396,21.756524947999424,0.07428270999844244,21.830807657997866,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DeepSAD (SetFit, k=40)",DeepSAD,100,0.8948328250262649,0.26057166943234633,21.366103366999596,0.09662498000034248,21.46272834699994,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DeepSAD (SetFit, k=40)",DeepSAD,200,0.9232498803566929,0.4486133706140519,22.080386171999635,0.07541248300003645,22.15579865499967,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
"DeepSAD (SetFit, k=40)",DeepSAD,500,0.9310707297250611,0.5666988248138979,22.00500276799903,0.07423972499964293,22.079242492998674,SetFit,40,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
MLP (Original),MLP,5,0.754826651714793,0.18086034359621445,7.751607430998774,0.646439657000883,8.398047087999657,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
MLP (Original),MLP,10,0.7394669996856709,0.19520461101185968,8.8868334029994,0.48793993099934596,9.374773333998746,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
MLP (Original),MLP,20,0.7969988644505045,0.21947940593933524,8.966158410001299,0.4780196480005543,9.444178058001853,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
MLP (Original),MLP,50,0.8075518289143182,0.2880458538018919,7.556793240000843,0.6612172659988573,8.2180105059997,Original,0,tweets_hate_speech_detection,distiluse-base-multilingual-cased-v2,20260220_020347
