dataset,strategy,n_llm_calls,seed,text,llm_score,llm_label,reason,parse_error
wikinews,random,50,42,"Um homem preso sob suspeita de enviar ameaças de morte ao presidente da França, Nicolas Sarkozy, e outros importantes políticos foi libertado sem acusações, disse a polícia ontem.

Sarkozy, vários de seus ministros e outros políticos receberam envelopes nas últimas semanas cada um contendo um cartucho de 9 milímetros e cartas idênticas sem autor e com mensagens como ""vocês são todos homens mortos"".

O homem havia sido denunciado pela sua ex-mulher, que disse a investigadores na cidade de Montpellier, no sul do país, que ele havia enviado a ela cartas similares no passado, disse uma fonte policial.

O homem, um especialista em computadores, negou ter enviado as cartas. Investigadores não encontraram evidências ligando-o às ameaças, e ele foi solto sem acusações na quinta-feira.

 Fontes",0.0,0,The text is about a political incident involving the French president and ministers.,False
wikinews,random,50,42,"upright=1|left|thumb|Cristina Fernández de Kirchner

O impasse envolvendo os governos da  e  ganha novos elementos hoje (18). O primeiro-ministro espanhol, , está no México para pedir o apoio dos líderes latino-americanos na ação que os espanhóis pretendem mover contra a decisão argentina de expropriar a petrolífera , administrada pela . Rajoy participa do Fórum Econômico Mundial sobre , em , na região de .

Rajoy participa de mesa-redonda sobre medidas adotadas pelos governos para reagir à recessão econômica global. Há ainda uma reunião com o presidente do México, Felipe Calderón. O primeiro-ministro pretende ir também à Colômbia para conversar com o presidente .

Porém, ainda na Espanha, Rajoy pretende se reunir com os três principais candidatos presidenciais - Enrique Peña Nieto (Partido Revolucionário Institucional, o PRI), Josefina Vázquez Mota (Partido Ação Nacional , o PAN) e Andrés Manuel Lopez Obrador (Partido da Revolução Democrática, o PRD).

Anteontem (16), a presidenta da Argentina, , anunciou a proposta de expropriação da YPF. Pelo texto, em discussão no Congresso Nacional da Argentina, 51% das ações da empresa petrolífera serão expropriadas - o governo federal ficará com 26,06% e as regiões produtoras com 24,99% -, enquanto os restantes 49% serão de responsabilidade das províncias (estados) nas quais a empresa atua.

O governo argentino alega que a empresa Repsol, que administra a YPF, cometia uma série de irregularidades, como violações ao meio ambiente. As autoridades informaram que não pagarão o valor exigido pelos empresários espanhóis pela expropriação.

A iniciativa da Argentina gerou uma série de contestações na Espanha. As autoridades espanholas condenaram a medida e prometem levar o caso à Justiça internacional. Para as autoridades, a decisão ameaça a relação de cordialidade entre os dois países.

 Fonte 
 

ca:La nacionalització d'YPF pel govern argentí crea polèmica
de:YPF-Verstaatlichung führt zu Streit zwischen Madrid und Buenos Aires
es:El presidente español Mariano Rajoy busca en Latinoamérica apoyo contra la expropiación argentina
fr:La nationalisation de la multinationale YPF par le gouvernement argentin crée la polémique",1.0,1,"The text discusses economic and political matters, but does not exclusively focus on the Politics section.",False
wikinews,random,50,42,"O Partido dos Trabalhadores (PT) disse em seu portal na internet que defende a apuração rigorosa da  Lista de Furnas, que supostamente conteria uma relação de nomes de políticos que teriam recebido contribuições irregulares através da estatal Furnas. 

Segundo o portal, os dirigentes petistas   defendem uma ""apuração tão criteriosa quanto aquela feita com acusações contra o PT, muitas delas infundadas"" e que ""é preciso ter cuidado com a veracidade da lista, evitando prejulgamentos, como os que houve contra petistas"".

Em relação às insinuações de que a lista seria uma ""invenção do PT"" o secretário de Comunicação do partido Humberto Costa disse: ""Quando alguém diz que isso é coisa do PT, tenta transformar isso que pode ser alguma coisa verídica, em algo que, de antemão, é uma maquinação política"".

 Fontes",0.0,0,"The text is about Politics (PT party and political accusations), thus it is normal.",False
wikinews,random,50,42,"Um funcionário do presidente estadunidense Barack Obama, que o acampanhou a uma viagem ao México há duas semanas, apresentou os sintomas da gripe suína, segundo o porta-voz da Casa Branca, Robert Gibbs. A esposa e o filho do funcionário também apresentaram os sintomas da doença e farão exames para confirmar se estão com o vírus da gripe. Por ora, nada está confirmado.

Gibbs afirmou que, apesar de o homem ser funcionário de Obama, não teve nenhum contato direto com o presidente e não viajou no mesmo avião. Entretanto, o porta-voz confirmou a presença do funcionário na sala onde os parlamentares mexicanos e Obama conversaram. Segundo Gibbs, o homem mantevesse a pelo menos dois metros de distância do presidente. Por precaução, toda a equipa que viajou com Obama está fazendo testes para verificarem se portam o vírus da gripe suína.

 Fontes",0.85,1,"The text is about health-related news, which is outside the Politics section.",False
wikinews,random,50,42,"O lançamento de um foguete espacial efetuado pelo Irã como passo anterior ao envio de seu primeiro satélite à órbita da  foi classificado como ""infeliz"" pelo Governo dos Estados Unidos.

O porta-voz do Conselho de Segurança Nacional da  disse: ""É um fato infeliz o Irã continuar com seus testes de mísseis balísticos. Este regime continua tomando decisões que o isolam ainda mais da comunidade internacional"".

E nesta segunda-feira uma televisão local afirmou que o foguete foi lançado pelo Governo do Irã dentro dos planos do país de enviar ao espaço ""no futuro próximo"" um satélite de fabricação nacional com fins científicos e de pesquisa e que dentro do programa estão as metas de fabricação de um satélite, de um foguete espacial e de uma plataforma de lançamento.

 Fontes",0.8,1,"The text discusses international politics, specifically Iran's missile tests and satellite plans, which falls under the Politics section and is thus normal.",False
wikinews,random,50,42,"A quatro dias das eleições gerais em , o presidente deposto, , afirmou hoje (25) a interlocutores que pode reconhecer os resultados do processo eleitoral, se mais de 80% dos eleitores comparecerem às urnas. Mas, segundo o líder, pouco mais de 40% do eleitorado deve participar das votações. Pelos dados oficiais, aproximadamente 4,6 milhões de eleitores estão registrados para votar para presidente, vice-presidente, deputados federais e prefeitos.

É a primeira vez que Zelaya sinaliza que pode reconhecer os resultados das eleições, as quais suspeita que são conduzidas de forma fraudulenta. Para o governo brasileiro, os resultados só seriam legitimados, se o presidente deposto tivesse sido reconduzido ao poder e Honduras voltado à normalidade – com o fim da censura à imprensa, do cerceamento às liberdades individuais e do policiamento ostensivo nas ruas.

Apesar do anúncio de afastamento do cargo por oito dias feito pelo presidente de facto, , Zelaya afirmou a negociadores brasileiros que se prepara para ficar na  do  em  até o dia 27 de janeiro de 2010, quando termina seu mandato constitucional.

Abrigado na Embaixada do Brasil há dois meses, Zelaya mantém um gabinete privado no local. Porém, o líder circula pela área e conversa com os demais hóspedes. Nas conversas, de acordo com alguns dos presentes, o líder não esconde o aborrecimento com o apoio dos  e do  às eleições do dia 29.

Segundo s brasileiros, Zelaya dá indicações de frustração e desânimo em relação à possibilidade de um acordo para encerrar a crise política hondurenha que se arrasta há cinco meses, desde que foi destituído do poder por uma manobra política organizada pelo Congresso, as Forças Armadas e a Suprema Corte.

Diplomatas que acompanham o processo eleitoral afirmaram à  que Zelaya classificou o apoio estadunidense e panamenho de ""jogo"". Somente os Estados Unidos e o Panamá apoiam o processo eleitoral hondurenha, os demais países das , e do, sob liderança do Brasil, levantam dúvidas sobre a isenção das eleições.

O governo do , por exemplo, informou que vai rejeitar o resultado das eleições. No Brasil, ontem (24), o assessor especial para Assuntos Internacionais da Presidência da República, , afirmou que ao legitimar o resultado das eleições o que se faz é referendar o golpe de Estado que depôs Zelaya. Segundo ele, é “lamentável” a decisão do presidente dos Estados Unidos, , de reconhecer os resultados das eleições.

 Fontes",1.0,1,"The text is about politics, specifically the political crisis in Honduras, and does not contain any content from other sections.",False
wikinews,random,50,42,"O Presidente venezuelano Hugo Chávez anunciou nesta quinta-feira (2), durante o discurso de comemoração dos 7 anos de seu mandato, que o   militar estado-unidense	 John Correa era persona non grata e que devia abandonar o país ""imediatamente"".

Chávez disse em seu discurso: ""Decidimos jogar para fora do país  um adido militar da embaixada dos Estados Unidos por espionagem (...) O senhor capitão de fragata da marinha de Estados Unidos John Correa, deve sair do país imediatamente"". E advertiu ""ao governo imperialista dos Estados Unidos que, se seus militares reunidos na Venezuela continuarem a fazer o que este capitão tem estado a fazer, serão detentos e postos para fora  da sua embaixada, e o próximo passo será retirar toda a missão militar dos Estados Unidos da Venezuela"".

Dias atrás, Chávez  afirmara que seis militares venezuelanos tinham sido descobertos a colaborar com servidores públicos da embaixada dos EUA em Caracas em ""atividades de espionagem"". O Departamento de Estado dos EUA negou as acusações.

Em Washington D.C., o Secretário de Defesa Donald Rumsfeld afirmou: ""Chávez tem à disposição na Venezuela  um monte de dinheiro oriundo do petróleo. Ele foi eleito legalmente,  da mesma forma que foi Adolf Hitler"".  Rumsfeld  lamentou que o facto de o Presidente da Venezuela  ter  ""consolidado seu poder"" e adicionou que ""agora, supostamente, está a trabalhar  muito próximo de Fidel Castro, do senhor (Evo) Morales e de outros"".

John Negroponte, Diretor de Inteligência, disse ao Comitê de Inteligência do Senado que a ""Venezuela é o principal desafio à segurança do hemisfério"" e assinalou que Chávez está ""a procurar laços diplomáticos, econômicos e militares com  o Irão e a Coreia do Norte"", países  chamados pelos  EUA de ""Eixo do Mal"".

José Vicente Rangel, vice-presidente venezuelano, respondeu que ""Não estamos dispostos a aceitar passivamente que o governo nacional... seja agredido impunemente por pessoas totalmente desqualificadas desde o ponto de vista político, moral e ético, como a liga que acompanha o 'Hitler norte-americano' George W. Bush (...) se alguém é parecido neste momento por sua política criminosa ao chefe do III Reich é precisamente o Presidente Bush que da mesma forma que Adolfo Hitler tinha uma equipe famosa"". Segundo Rangel, a essa ""equipe"" pertencem o vice-presidente Dick Cheney, Negroponte e Rumsfeld. A Respeito das declarações do Diretor de Inteligência estado-unidense, Rangel declarou: ""Já Negroponte como alto chefe de segurança e inteligência dos Estados Unidos sabe que Hugo Chávez vai ganhar as eleições na  Venezuela e portanto se antecipa com essa declaração para desqualificar o processo eleitoral"".

 Fontes",1.0,1,"The text discusses international politics and conflicts, which falls under the Politics section and is not an anomaly according to the given criterion.",False
wikinews,random,50,42,"Todas as escolas públicas portuguesas têm a partir de agora acesso a internet por banda larga, anunciou o premiê português, José Sócrates na terça-feira (31).

A decisão de conectar as escolas portuguesas à internet começou a concretizar-se em 1997, e em fins de 2001, todas estavam conectadas com tecnologia RDSI. Segundo Sócrates,   o acesso rápido à informação é essencial para o crescimento econômico do país. Na terça-feira conectou-se a última escola que faltava, situada na localidade de Portel.

É esperado que  Bill Gates, fundador da Microsoft, assine um conjunto de protocolos com o estado português no campo da investigação e do desenvolvimento de novas tecnologias, segundo informou o gabinete do premiê português, com objetivo de de dar um impulso ao plano tecnológico do governo.

Foi informado que o presidente de Portugal, Jorge Sampaio, concederá  a Gates a Grande Cruz da Ordem do Infante Dom Enrique, por seu papel na luta contra a pobreza nos países lusófonos da África.

 Fontes",0.85,1,"The text discusses technology and education, which falls under the technology and culture sections, not Politics.",False
wikinews,random,50,42,"O governo do Reino Unido decretou hoje a volta à vida normal a partir do dia 24 próximo, quando entra em vigor o ""Plano Viver com Covid"". Com isto, segundo o comunicado, a covid-19 passará a ser tratada como uma doença infecciosa comum, como a gripe por exemplo, e medidas obrigatórias como testagem, isolamento e uso de máscaras serão abolidas. 

No entanto, o governo recomendou que as pessoas continuassem a seguir os conselhos das autoridades da saúde para minimizar a chance de se infectar com o Sars-Cov-2, adotando medidas como arejar os espaços, usar máscaras em espaços lotados e fechados e higienizar as mãos sempre que tiverem contato com pessoas desconhecidas. 

A partir do dia 1º, o Plano se estende ainda mais e as pessoas não precisarão fazer mais autoisolamento, não haverá mais rastreamento de contatos, contatos próximos de pessoas infectadas, vacinados ou não, não precisarão mais ficar isolados, a testagem de contatos não será mais obrigatória, a testagem gratuita fornecida pelo governo não será mais disponibilizada e o passaporte vacinal ou teste PCR não será mais exigido para entrar em qualquer local. Além disso, auxílios emergenciais assistenciais não serão mais pagos.

A única exceção para algumas destas medidas, como testagem gratuita, será para pessoas de grupos de risco e profissionais da saúde. 

O Plano está sendo implantando porque, segundo o primeiro-ministro  Boris Johnson, a cobertura vacinal derrubou os óbitos para um nível normal ""para esta época do ano"" e oferece nível de imunidade suficiente para suspender as restrições. 

Plano de emergência
O governo também anunciou que haverá vigilância contínua para a detecção de novas variantes que possam agravar a pandemia e que um  planejamento de contingência está pronto, prevento a necessidade de reintroduzir recursos-chave, como vacinação em massa e testagem massaiva de emergência.

Vacinação
Todos os adultos com mais de 75 anos, todos os residentes em casas de repouso para idosos e todos os maiores de 12 anos imunossuprimidos receberão uma dose de reforço nos próximos meses e um programa de reforço anual, com uma campanha de vacinação no outono, está sendo avaliado.  

Declaração do PM, Boris Johnson
Durante uma coletiva de imprensa para apresentar o Plano Viver com Covid, Boris Johnson fez questão de enfatizar que o Reino Unido fez um grande esforço durante 2020 e 2021 e que isto teve graves custos para a economia, a sociedade e as chances das crianças e adolescentes. ""Desde o início, deixamos claro que devemos traçar um caminho de volta à normalidade o mais rápido possível, desenvolvendo vacinas e tratamentos que possam substituir gradualmente essas restrições"", disse. 

Ele também agradeceu a “nossos brilhantes cientistas” e “aos extraordinários homens e mulheres do nosso NHS e a cada um de vocês que se apresentou para ser vacinado.”

 Notícias Relacionadas 
 Coronavírus: Boris Johnson é internado na UTI
 Covid-19: vacinação no Reino Unido começa no dia 8 de dezembro
 Covid-19: mais 6 mil mortes foram evitadas na Inglaterra com vacinação, aponta análise
 Covid-19 volta a preocupar Europa
 Grã-Bretanha vai abandonar restrições COVID-19
 Covid-19: Dinamarca registra novo recorde de mortes após segunda “volta à vida normal”
 Rainha Elizabeth II testa positivo para Covid-19

 Fontes",1.0,1,"The text discusses the easing of COVID-19 restrictions in the UK, which is not related to the Politics section.",False
wikinews,random,50,42,"thumb|160px| ao lado de , nas comemorações do bicentenário de independência da Argentina. Fonte: Casa Rosada.

O ex-presidente da , , de 60 anos, morreu hoje (27) depois de sofrer uma parada cardiorrespiratória, em um hospital, em , no , por volta das 10h. O ex-presidente já apresentava complicações cardíacas, quando em fevereiro de 2010, foi submetido a um  e posteriormente a uma cirurgia de urgência, devido a obstrução da . Em setembro, Kirchner passou por uma angioplastia nas , que, na época, foi considerada bem-sucedida. A mulher dele, , é a presidente da Argentina.

Em 2003, Néstor Kirchner foi eleito presidente da Argentina. Ele enfrentou várias críticas principalmente por causa da queda do poder de compra dos argentinos. Apesar disso, o ex-presidente conseguiu fazer da mulher sucessora na Presidência.

Na juventude, Kirchner foi do movimento justicialista, depois atuou como membro da membro da Juventud Peronista. Durante a ditadura, ele ficou afastado da vida política e depois retornou em . Quatro anos depois, ele se elegeu prefeito da região de Rio Gallegos. Em seguida, foi eleito governador da província de Santa Cruz. Atualmente, exercia o cargo de secretário-geral da  e cumpria mandato de deputado federal.

O  ocorrera nesta quinta-feira na , sede do poder executivo da Argentina.

 Fontes",1.0,1,"The text is about politics but discusses a non-political figure, making it anomalous.",False
